DiagramID,DiagramType,DiagramName,Description,Purpose,OwnerTool,Status,Inputs(files),Outputs(export filename),RequiredBy(ReqIDs),Notes,,
D-013,Process Flow,Distribution_Process,تدفق التوزيع الآلي واليدوي مع تسجيل الأسباب وUndo وWIP.,توحيد خطوات التوزيع والمسؤوليات.,Miro,CREATE,02_RTM/RTM.csv;04_UI_PAGES/Pages_Index.csv;02_ASSETS/Tables/Stages_List.csv,TBD,FR-013;FR-014;FR-015;FR-016;FR-017;UC-001;UC-002,,,
D-014,Process Flow,Production_Logging_Process,دخول الموظف وتسجيل بدء/إنهاء مع القيود والتدريب.,توضيح تدفق التسجيل على Mobile/Kiosk.,Miro,CREATE,02_RTM/RTM.csv;04_UI_PAGES/Pages_Index.csv;03_DATA_MODEL/Data_Dictionary.csv,TBD,FR-020;FR-021;FR-022;FR-023;FR-024;FR-025;FR-026;FR-027;FR-029;FR-030;FR-031;UC-003,,,
D-015,Process Flow,QC_Repair_Process,تدفق QC والعيوب والتذاكر والإشعارات.,توضيح مسار الجودة والإصلاح.,Miro,CREATE,02_RTM/RTM.csv;02_ASSETS/Tables/Defects_Catalog.csv;02_ASSETS/Tables/Defect_Stage_Map.csv,TBD,FR-039;FR-040;FR-041;FR-042;FR-043;FR-044;FR-045;FR-047;FR-048;FR-049;UC-004;UC-005,,,
D-016,Process Flow,Training_Gate_Process,تدفق التدريب والاختبار والإقرار قبل التسجيل.,توضيح بوابة التدريب.,Miro,CREATE,02_RTM/RTM.csv;04_UI_PAGES/Pages_Index.csv;02_ASSETS/Tables/WhatsApp_Templates.csv,TBD,FR-036;FR-037;FR-038;UC-006,,,
D-017,Process Flow,Payroll_Process,تجميع الإنتاج وNPT والتسعير وتشغيل المسير.,توضيح تدفق الرواتب.,Miro,CREATE,02_RTM/RTM.csv;04_UI_PAGES/Pages_Index.csv;03_DATA_MODEL/Data_Dictionary.csv,TBD,FR-059;FR-060;FR-061;FR-064;UC-007,,,
D-018,Process Flow,Notification_Process,تدفق الإشعارات من الحدث حتى التتبع.,توضيح مسار الإشعارات وربط القوالب.,Miro,CREATE,02_RTM/RTM.csv;02_ASSETS/Tables/WhatsApp_Templates.csv;03_DATA_MODEL/Data_Dictionary.csv,TBD,FR-050;FR-051;FR-052;FR-053;FR-054,,,
D-019,Integration Flow,Offline_Sync_PWA,تدفق مزامنة Offline Queue عبر API-004.,توضيح التكامل مع التطبيق دون اتصال.,Miro,CREATE,05_API/API_Inventory.csv;03_DATA_MODEL/Data_Dictionary.csv;02_RTM/RTM.csv,TBD,FR-098;API-004,,,
D-020,Decision/Rule Flow,Spec_to_Stage_Rules,قواعد إدراج مراحل الغسيل/التطريز/الإكسسوار.,توثيق منطق توليد المسار.,Miro,CREATE,02_ASSETS/Tables/Spec_to_Stage_Rules.md;02_RTM/RTM.csv,TBD,FR-032;FR-033;FR-034,,,
D-021,Decision/Rule Flow,ETA_Bottleneck_Algorithms,منطق ETA والاختناق وفق أداء 7 أيام وWIP.,توثيق خوارزميات التخطيط.,Miro,CREATE,02_RTM/RTM.csv;99_INTAKE/SRS_TEXT.md,TBD,ALG-001;ALG-002;ALG-003;FR-055;FR-056;FR-058,,,
D-022,Security,RBAC_RLS_Flows,أدوار وصلاحيات وقيود RLS وإجراءات حساسة.,توضيح التحكم بالوصول.,Miro,CREATE,06_SECURITY/RBAC_Matrix.csv;02_RTM/RTM.csv,TBD,SEC-001;SEC-002;SEC-006;SEC-007,,,
D-023,Architecture,Ops_Deployment_Architecture,بيئات النشر والترحيل والنسخ الاحتياطي والمراقبة.,توضيح بنية التشغيل والنشر.,Miro,CREATE,08_OPS/Deployment_Runbook.md,TBD,NFR-010;NFR-011;NFR-005,,,
D-024,State Machine,Distribution_States,حالات التوزيع (آلي/يدوي/Undo) مع القيود.,توحيد حالات التوزيع ومسارات الاستثناء.,Miro,CREATE,02_RTM/RTM.csv;03_DATA_MODEL/Data_Dictionary.csv,TBD,FR-013;FR-014;FR-016;FR-017,,,
D-025,State Machine,ProductionLog_Session_States,حالات جلسة تسجيل الإنتاج من بدء إلى إنهاء مع حالات المنع.,توضيح حالات التسجيل.,Miro,CREATE,02_RTM/RTM.csv;03_DATA_MODEL/Data_Dictionary.csv,TBD,FR-025;FR-026;FR-027;FR-029;FR-030;FR-031,,,
D-026,State Machine,Training_Assignment_States,حالات تعيين التدريب وفق TRAINING_ASSIGN.STATUS.,توضيح انتقالات التدريب وإقراره.,Miro,CREATE,02_RTM/RTM.csv;03_DATA_MODEL/Data_Dictionary.csv;03_DATA_MODEL/Status_Enums.csv,TBD,FR-038,,,
D-027,State Machine,QC_Check_States,حالات فحص الجودة (RESULT/QC_TYPE) ومسارات الفشل.,توضيح انتقالات QC وربط النتائج بالتذاكر.,Miro,CREATE,02_RTM/RTM.csv;03_DATA_MODEL/Data_Dictionary.csv;03_DATA_MODEL/Status_Enums.csv,TBD,FR-039;FR-040;FR-041;FR-042;FR-043;FR-044;FR-045;FR-047,,,
D-028,State Machine,RepairTicket_States,حالات تذكرة الإصلاح مع الموعد والتجاوز والاستثناء.,توضيح انتقالات الإصلاح.,Miro,CREATE,02_RTM/RTM.csv;03_DATA_MODEL/Data_Dictionary.csv;03_DATA_MODEL/Status_Enums.csv,TBD,FR-048;FR-049,,,
D-029,State Machine,PayrollRun_States,حالات مسير الرواتب وفق PAYROLL_RUNS.STATUS.,توضيح انتقالات المسير والمراجعة.,Miro,CREATE,02_RTM/RTM.csv;03_DATA_MODEL/Data_Dictionary.csv;03_DATA_MODEL/Status_Enums.csv,TBD,FR-064,,,
D-030,State Machine,Notification_Delivery_States,حالات تسليم الإشعار حسب NOTIFICATIONS.STATUS.,توضيح مسارات الإرسال والتتبع.,Miro,CREATE,02_RTM/RTM.csv;03_DATA_MODEL/Data_Dictionary.csv;03_DATA_MODEL/Status_Enums.csv,TBD,FR-050;FR-051;FR-052;FR-053;FR-054,,,.
